i,Name/Title,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,URL,Comments,"Task Color"
1,PowerEnJoy,2016-11-28,2016-12-22,0,0,,,,,,,
1.1,"DD writing",2016-11-28,2016-12-22,0,0,0,,,,,,
1.1.1,"High level architecture",2016-11-28,2016-11-29,0,0,0,,,,,,
1.1.2,"Definition subsystems",2016-11-30,2016-12-01,0,0,0,,,,,,blue2
1.1.3,"Definition components",2016-12-02,2016-12-06,0,0,0,,,,,,blue2
1.1.4,"Definition design patterns",2016-12-02,2016-12-06,0,0,0,,,,,,blue2
1.1.5,"Meeting with customers",2016-12-07,2016-12-07,0,0,0,,,,,,blue2
1.1.6,Revision,2016-12-09,2016-12-12,0,0,0,,,,,,blue2
1.1.7,"Modelling architecture",2016-12-13,2016-12-15,0,0,0,,,,,,blue2
1.1.8,"Modelling components",2016-12-16,2016-12-19,0,0,0,,,,,,blue2
1.1.9,"Modelling mock ups",2016-12-16,2016-12-16,0,0,0,,,,,,blue2
1.1.10,"Modelling algorithm design",2016-12-19,2016-12-19,0,0,0,,,,,,blue2
1.1.11,"Meeting with customer",2016-12-20,2016-12-20,0,0,0,,,,,,blue2
1.1.12,"Final revision",2016-12-21,2016-12-22,0,0,0,,,,,,blue2
